cell,binary,pair,pos,rate,think,tick_us,worker_threads,pre_vus,max_vus,cores,exit,iterations,dropped,achieved_per_s,wall_s,task_clock_ms,cycles,instructions,ctx_switches,cpu_migrations,cache_misses
r250000-0s-tick1000-wt2,cand,3,2,250000,0s,1000,2,64,128,0-3,0,1063551.0,1436350.0,106355.1,10.030,4194.22,6488437121,6810894175,15159,6,56296494
r250000-0s-tick1000-wt2,cand,4,1,250000,0s,1000,2,64,128,0-3,0,1072208.0,1427718.0,107220.8,10.029,3913.68,6559102103,6849994867,15467,12,57624200
r250000-0s-tick1000-wt2,base,4,2,250000,0s,1000,2,64,128,0-3,0,663616.0,1836346.0,66361.6,11.031,3728.18,5690244674,7298766993,16326,4,52705476
r250000-0s-tick1000-wt2,base,5,1,250000,0s,1000,2,64,128,0-3,0,659376.0,1840579.0,65937.6,11.028,3324.16,5768385503,7301353019,16623,0,49567261
r250000-0s-tick1000-wt2,cand,5,2,250000,0s,1000,2,64,128,0-3,0,1060229.0,1439563.0,106022.9,10.029,4346.79,6484344437,6796179316,15008,7,57773132
r50000-1ms-tick1000-wt2,base,0,warmup,50000,1ms,1000,2,512,1024,0-3,0,499904.0,0,49990.4,11.030,1824.52,3034595261,3904562517,17661,9,33123601
r50000-1ms-tick1000-wt2,cand,0,warmup,50000,1ms,1000,2,512,1024,0-3,0,499896.0,0,49989.6,10.030,2062.30,2980223051,3919816096,17410,9,35685541
r50000-1ms-tick1000-wt2,base,1,1,50000,1ms,1000,2,512,1024,0-3,0,499946.0,0,49994.6,11.030,2068.48,3019296800,3914218219,17420,20,35412950
r50000-1ms-tick1000-wt2,cand,1,2,50000,1ms,1000,2,512,1024,0-3,0,499924.0,0,49992.4,10.029,1824.69,2982135268,3922525929,17557,8,33512093
r50000-1ms-tick1000-wt2,cand,2,1,50000,1ms,1000,2,512,1024,0-3,0,499938.0,0,49993.8,10.028,1896.58,3084878079,3938687237,17609,0,33175758
r50000-1ms-tick1000-wt2,base,2,2,50000,1ms,1000,2,512,1024,0-3,0,499921.0,0,49992.1,11.027,1547.15,2951136890,3873114155,17939,38,34006608
r50000-1ms-tick1000-wt2,base,3,1,50000,1ms,1000,2,512,1024,0-3,0,499942.0,0,49994.2,11.030,1540.76,2988785624,3866467003,17843,39,36930848
r50000-1ms-tick1000-wt2,cand,3,2,50000,1ms,1000,2,512,1024,0-3,0,499904.0,0,49990.4,10.030,1889.13,3072044978,3919506617,17551,13,32447448
r50000-1ms-tick1000-wt2,cand,4,1,50000,1ms,1000,2,512,1024,0-3,0,499926.0,0,49992.6,10.028,2071.18,2957015559,3938459473,17423,14,35190543
r50000-1ms-tick1000-wt2,base,4,2,50000,1ms,1000,2,512,1024,0-3,0,499910.0,0,49991.0,11.030,1544.88,3025450671,3892271813,17897,12,32012436
