cell,binary,pair,pos,rate,think,tick_us,worker_threads,pre_vus,max_vus,cores,exit,iterations,dropped,achieved_per_s,wall_s,task_clock_ms,cycles,instructions,ctx_switches,cpu_migrations,cache_misses
r250000-0s-tick1000-wt2,cand,3,2,250000,0s,1000,2,64,128,0-3,0,1065243.0,1434560.0,106524.3,10.028,4213.10,6412010882,6863361509,15133,2,58468393
r250000-0s-tick1000-wt2,cand,4,1,250000,0s,1000,2,64,128,0-3,0,1065577.0,1434229.0,106557.7,10.029,3903.18,6343233397,6878638822,15434,2,55509003
r250000-0s-tick1000-wt2,base,4,2,250000,0s,1000,2,64,128,0-3,0,655873.0,1844033.0,65587.3,11.027,3236.83,5764775465,7285702889,16652,8,50242483
r250000-0s-tick1000-wt2,base,5,1,250000,0s,1000,2,64,128,0-3,0,662904.0,1837018.0,66290.4,11.028,3515.52,5760756985,7327588716,16368,2,52074706
r250000-0s-tick1000-wt2,cand,5,2,250000,0s,1000,2,64,128,0-3,0,1052641.0,1447241.0,105264.1,10.029,4335.77,6541840534,6789092623,14994,7,56725555
r50000-1ms-tick1000-wt2,base,0,warmup,50000,1ms,1000,2,512,1024,0-3,0,499909.0,0,49990.9,11.028,1864.16,3019018336,3896594575,17609,4,33247573
r50000-1ms-tick1000-wt2,cand,0,warmup,50000,1ms,1000,2,512,1024,0-3,0,499904.0,0,49990.4,10.030,3857.35,8085111560,8013987766,15774,3,89552261
r50000-1ms-tick1000-wt2,base,1,1,50000,1ms,1000,2,512,1024,0-3,0,499929.0,0,49992.9,11.030,2027.17,2951537629,3915333952,17424,8,33460761
r50000-1ms-tick1000-wt2,cand,1,2,50000,1ms,1000,2,512,1024,0-3,0,499928.0,0,49992.8,10.030,4379.11,7243283417,7652012623,15139,4,86978108
r50000-1ms-tick1000-wt2,cand,2,1,50000,1ms,1000,2,512,1024,0-3,0,499922.0,0,49992.2,10.029,4052.54,7678648100,7849245221,15485,10,87264109
r50000-1ms-tick1000-wt2,base,2,2,50000,1ms,1000,2,512,1024,0-3,0,499902.0,0,49990.2,11.030,1768.08,2877356143,3872977075,17603,7,33012865
r50000-1ms-tick1000-wt2,base,3,1,50000,1ms,1000,2,512,1024,0-3,0,499889.0,0,49988.9,11.029,1851.68,2883619017,3891682185,17563,5,33720975
r50000-1ms-tick1000-wt2,cand,3,2,50000,1ms,1000,2,512,1024,0-3,0,499927.0,0,49992.7,10.029,3148.68,8055164334,8330043150,16146,0,87702643
r50000-1ms-tick1000-wt2,cand,4,1,50000,1ms,1000,2,512,1024,0-3,0,499904.0,0,49990.4,10.029,3496.03,7972149208,7895847557,15898,2,86861051
r50000-1ms-tick1000-wt2,base,4,2,50000,1ms,1000,2,512,1024,0-3,0,499907.0,0,49990.7,11.031,1890.80,2973608317,3901676147,17553,6,34962990
r50000-1ms-tick1000-wt2,base,5,1,50000,1ms,1000,2,512,1024,0-3,0,499925.0,0,49992.5,11.029,1719.40,2983279270,3893322702,17805,6,31254130
r50000-1ms-tick1000-wt2,cand,5,2,50000,1ms,1000,2,512,1024,0-3,0,499940.0,0,49994.0,10.027,3891.42,7744299287,7832219429,15647,7,89427282
r150000-1ms-tick1000-wt2,base,0,warmup,150000,1ms,1000,2,512,1024,0-3,0,1499798.0,0,149979.8,11.026,5236.06,7786882971,10647855682,15559,4,101927681
r150000-1ms-tick1000-wt2,cand,0,warmup,150000,1ms,1000,2,512,1024,0-3,0,1499745.0,0,149974.5,10.030,5627.01,10246323618,12356671755,14327,2,128243262
r150000-1ms-tick1000-wt2,base,1,1,150000,1ms,1000,2,512,1024,0-3,0,1499817.0,0,149981.7,11.031,5049.53,8209197155,10659983806,15824,3,101259382
r150000-1ms-tick1000-wt2,cand,1,2,150000,1ms,1000,2,512,1024,0-3,0,1499697.0,0,149969.7,10.028,6483.57,10863595571,12690150044,13768,2,133080498
r150000-1ms-tick1000-wt2,cand,2,1,150000,1ms,1000,2,512,1024,0-3,0,1499646.0,0,149964.6,10.027,5306.64,11087905497,12538264670,14864,2,132742380
r150000-1ms-tick1000-wt2,base,2,2,150000,1ms,1000,2,512,1024,0-3,0,1499732.0,0,149973.2,11.030,5043.19,7621383535,10631088871,15477,3,102826384
r150000-1ms-tick1000-wt2,base,3,1,150000,1ms,1000,2,512,1024,0-3,0,1499819.0,0,149981.9,11.031,5085.83,7823141980,10641681556,15984,5,102547215
